model,noise_type,noise_rate,seed,loss,model_preparation_time,micro_precision,micro_recall,micro_f1,overall_accuracy,climate-assets_f1,climate-assets_precision,climate-assets_recall,climate-datasets_f1,climate-datasets_precision,climate-datasets_recall,climate-greenhouse-gases_f1,climate-greenhouse-gases_precision,climate-greenhouse-gases_recall,climate-hazards_f1,climate-hazards_precision,climate-hazards_recall,climate-impacts_f1,climate-impacts_precision,climate-impacts_recall,climate-mitigations_f1,climate-mitigations_precision,climate-mitigations_recall,climate-models_f1,climate-models_precision,climate-models_recall,climate-nature_f1,climate-nature_precision,climate-nature_recall,climate-observations_f1,climate-observations_precision,climate-observations_recall,climate-organisms_f1,climate-organisms_precision,climate-organisms_recall,climate-organizations_f1,climate-organizations_precision,climate-organizations_recall,climate-problem-origins_f1,climate-problem-origins_precision,climate-problem-origins_recall,climate-properties_f1,climate-properties_precision,climate-properties_recall,runtime,samples_per_second,steps_per_second,epoch
nasa-smd-ibm-v0.1,ocr,5,123,1.039504051208496,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2883,138.941,4.657,0
nasa-smd-ibm-v0.1,ocr,5,999,1.0392670631408691,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3486,132.734,4.449,0
nasa-smd-ibm-v0.1,ocr,10,42,1.0391852855682373,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4052,127.388,4.27,0
nasa-smd-ibm-v0.1,ocr,10,123,1.039581060409546,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4364,124.615,4.177,0
nasa-smd-ibm-v0.1,ocr,10,999,1.0393962860107422,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3491,132.682,4.447,0
nasa-smd-ibm-v0.1,ocr,15,42,1.039568543434143,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4135,126.637,4.245,0
nasa-smd-ibm-v0.1,ocr,15,123,1.0393189191818237,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3691,130.742,4.382,0
nasa-smd-ibm-v0.1,ocr,15,999,1.039663314819336,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4081,127.12,4.261,0
nasa-smd-ibm-v0.1,ocr,20,42,1.039401888847351,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5146,118.186,3.962,0
nasa-smd-ibm-v0.1,ocr,20,123,1.039357304573059,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5278,117.163,3.927,0
nasa-smd-ibm-v0.1,ocr,20,999,1.039149284362793,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5451,115.851,3.883,0
nasa-smd-ibm-v0.1,ocr,23,42,1.0405741930007935,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4669,122.03,4.09,0
nasa-smd-ibm-v0.1,ocr,23,123,1.0401124954223633,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5835,113.038,3.789,0
nasa-smd-ibm-v0.1,ocr,23,999,1.0394810438156128,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5061,118.847,3.984,0
nasa-smd-ibm-v0.1,switching,5,42,1.0389107465744019,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2482,143.404,4.807,0
nasa-smd-ibm-v0.1,switching,5,123,1.0389792919158936,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2388,144.491,4.843,0
nasa-smd-ibm-v0.1,switching,5,999,1.0388511419296265,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2361,144.812,4.854,0
nasa-smd-ibm-v0.1,switching,10,42,1.0387011766433716,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2472,143.523,4.811,0
nasa-smd-ibm-v0.1,switching,10,123,1.0387120246887207,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2356,144.867,4.856,0
nasa-smd-ibm-v0.1,switching,10,999,1.0389302968978882,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2412,144.212,4.834,0
nasa-smd-ibm-v0.1,switching,15,42,1.0387141704559326,0.0024,0.0,0.0,0.0,0.8147186147186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2428,144.026,4.828,0
